task_id,job_id,app_name,node_name,ucb_reward,ucb_arm,user_id,task_type,offloaded,edge_id,arrival_time,finish_time,inter_arrival_ms,latency_ms,waiting_ms,proc_ms,tx_delay_ms,transit_ms,channel_rate_mbps,cycles_total,split_ratio,cycles_local,cycles_edge,local_ratio,edge_ratio,finish_time_edge
72,14,lightgbm,s,0.98,Edge 0,3,DAG_Task,1,0,6.92,6.93,,10.0,,0.0,2.0,,10.0,0.0,1.0,0.0,229125000.0,0.0,0.0,6.93
73,14,lightgbm,0,0.94,Edge 0,3,DAG_Task,1,0,6.92,6.95,,30.0,,0.0,10.0,,10.0,10.0,1.0,0.0,229125010.0,0.0,22912501.0,6.95
75,14,lightgbm,2,-1.0,Edge 0,3,DAG_Task,1,0,6.92,7.95,,1030.0,,0.0,986.0,,5.0,15.0,1.0,0.0,309375015.0,0.0,20625001.0,7.95
77,15,mapreduce,s,0.98,Edge 1,5,DAG_Task,1,1,7.96,7.97,,10.0,,0.0,2.0,,10.0,0.0,1.0,0.0,901687500.0,0.0,0.0,7.97
78,15,mapreduce,0,0.92,Edge 1,5,DAG_Task,1,1,7.96,8.0,,40.0,,0.0,18.0,,5.0,10.0,1.0,0.0,910312509.9999999,0.0,91031251.0,8.0
80,15,mapreduce,2,0.9,Local,5,DAG_Task,0,-1,7.96,8.01,,50.0,0.0,0.0,0.0,50.0,,15.0,0.0,15.0,0.0,1.0,0.0,
82,16,lightgbm,s,0.98,Edge 1,3,DAG_Task,1,1,8.32,8.33,,10.0,,0.0,2.0,,10.0,0.0,1.0,0.0,165750000.0,0.0,0.0,8.33
83,16,lightgbm,0,0.94,Edge 1,3,DAG_Task,1,1,8.32,8.35,,30.0,,0.0,10.0,,10.0,10.0,1.0,0.0,165750010.0,0.0,16575001.0,8.35
74,14,lightgbm,1,-1.0,Edge 0,3,DAG_Task,1,0,6.92,8.91,,1990.0,,0.0,1946.0,,5.0,15.0,1.0,0.0,309375015.0,0.0,20625001.0,8.91
87,17,matrix,s,0.98,Edge 1,5,DAG_Task,1,1,9.16,9.17,,10.0,,0.0,2.0,,10.0,0.0,1.0,0.0,150000000.0,0.0,0.0,9.17
88,17,matrix,0,0.94,Edge 1,5,DAG_Task,1,1,9.16,9.19,,30.0,,0.0,10.0,,10.0,10.0,1.0,0.0,150000010.0,0.0,15000001.0,9.19
85,16,lightgbm,2,-1.0,Edge 1,3,DAG_Task,1,1,8.32,9.35,,1030.0,,0.0,986.0,,5.0,15.0,1.0,0.0,237375015.0,0.0,15825001.0,9.35
79,15,mapreduce,1,-1.0,Edge 1,5,DAG_Task,1,1,7.96,9.93,,1970.0,,0.0,1946.0,,5.0,15.0,1.0,0.0,910312515.0,0.0,60687501.0,9.93
81,15,mapreduce,3,-1.0,Local,5,DAG_Task,0,-1,7.96,9.94,,1980.0,0.0,0.0,0.0,1980.0,,15.0,0.0,15.0,0.0,1.0,0.0,
94,18,mapreduce,s,0.98,Edge 1,1,DAG_Task,1,1,9.94,9.95,,10.0,,0.0,2.0,,10.0,0.0,1.0,0.0,901687500.0,0.0,0.0,9.95
95,18,mapreduce,0,0.92,Edge 1,1,DAG_Task,1,1,9.94,9.98,,40.0,,0.0,18.0,,5.0,10.0,1.0,0.0,910312509.9999999,0.0,91031251.0,9.98
84,16,lightgbm,1,-1.0,Edge 1,3,DAG_Task,1,1,8.32,10.31,,1990.0,,0.0,1946.0,,5.0,15.0,1.0,0.0,237375015.0,0.0,15825001.0,10.31
86,16,lightgbm,3,-1.0,Local,3,DAG_Task,0,-1,8.32,10.32,,2000.0,0.0,0.0,0.0,2000.0,,15.0,0.0,15.0,0.0,1.0,0.0,
99,19,lightgbm,s,0.98,Edge 1,1,DAG_Task,1,1,10.36,10.37,,10.0,,0.0,2.0,,10.0,0.0,1.0,0.0,165750000.0,0.0,0.0,10.37
100,19,lightgbm,0,0.94,Edge 1,1,DAG_Task,1,1,10.36,10.39,,30.0,,0.0,10.0,,10.0,10.0,1.0,0.0,165750010.0,0.0,16575001.0,10.39
101,19,lightgbm,1,0.92,Local,1,DAG_Task,0,-1,10.36,10.4,,40.0,0.0,0.0,0.0,40.0,,15.0,0.0,15.0,0.0,1.0,0.0,
104,20,matrix,s,0.98,Edge 1,1,DAG_Task,1,1,10.42,10.43,,10.0,,0.0,2.0,,10.0,0.0,1.0,0.0,150000000.0,0.0,0.0,10.43
105,20,matrix,0,0.94,Edge 1,1,DAG_Task,1,1,10.42,10.45,,30.0,,0.0,10.0,,10.0,10.0,1.0,0.0,150000010.0,0.0,15000001.0,10.45
108,20,matrix,3,0.92,Local,1,DAG_Task,0,-1,10.42,10.46,,40.0,0.0,0.0,0.0,40.0,,15.0,0.0,15.0,0.0,1.0,0.0,
97,18,mapreduce,2,-0.1,Edge 1,1,DAG_Task,1,1,9.94,10.49,,550.0,,0.0,494.0,,10.0,15.0,1.0,0.0,901687515.0000001,0.0,60112501.0,10.49
111,21,mapreduce,s,0.98,Edge 1,5,DAG_Task,1,1,10.54,10.55,,10.0,,0.0,2.0,,10.0,0.0,1.0,0.0,901687500.0,0.0,0.0,10.55
113,21,mapreduce,1,0.96,Local,5,DAG_Task,0,-1,10.54,10.56,,20.0,0.0,0.0,0.0,20.0,,15.0,0.0,15.0,0.0,1.0,0.0,
115,21,mapreduce,3,0.94,Local,5,DAG_Task,0,-1,10.54,10.57,,30.0,0.0,0.0,0.0,30.0,,15.0,0.0,15.0,0.0,1.0,0.0,
112,21,mapreduce,0,0.94,Edge 1,5,DAG_Task,1,1,10.54,10.57,,30.0,,0.0,10.0,,10.0,10.0,1.0,0.0,901687510.0,0.0,90168751.0,10.57
116,22,mapreduce,s,0.98,Edge 1,1,DAG_Task,1,1,10.67,10.68,,10.0,,0.0,2.0,,10.0,0.0,1.0,0.0,901687500.0,0.0,0.0,10.68
117,22,mapreduce,0,0.96,Local,1,DAG_Task,0,-1,10.67,10.69,,20.0,0.0,0.0,0.0,20.0,,10.0,0.0,10.0,0.0,1.0,0.0,
