sim_time,tasks_done_interval,tasks_local,tasks_offloaded,mean_lat_all_ms,mean_lat_local_ms,mean_lat_edge_ms,p95_lat_all_ms,ucb_reward_mean,ucb_reward_cumulative,ucb_regret_cumulative,total_user_qlen,total_edge_qlen,u0_qlen,u1_qlen,u2_qlen,u3_qlen,u4_qlen,u5_qlen,e0_qlen,e0_busy,e0_txbuf,e0_load,e1_qlen,e1_busy,e1_txbuf,e1_load
1.0,76,1,75,33.42,70.0,32.93,90.0,0.9332,70.92,5.08,0,0,0,0,0,0,0,0,0,0,1,1,0,0,74,74
2.0,199,3,196,44.42,60.0,44.18,110.0,0.9112,252.24,22.76,0,0,0,0,0,0,0,0,0,0,3,3,0,0,267,267
3.01,450,192,258,136.04,96.25,165.66,1035.5,0.7849,605.46,119.54,0,0,0,0,0,0,0,0,0,0,94,94,0,0,287,287
4.01,481,286,195,381.81,251.71,572.62,2520.0,0.5791,884.0,322.0,0,0,0,0,0,0,0,0,0,0,76,76,0,0,256,256
5.01,557,342,215,440.25,323.3,626.28,3030.0,0.6391,1239.96,523.04,0,0,0,0,0,0,0,0,0,0,64,64,0,0,231,231
6.01,650,379,271,702.6,500.55,985.17,4000.0,0.5737,1612.8399,800.1601,0,0,0,0,0,0,0,0,0,0,59,59,0,0,188,188
7.01,712,426,286,798.17,571.67,1135.56,5500.0,0.6067,2044.8199,1080.1801,0,0,0,0,0,0,0,0,0,0,46,46,0,0,140,140
8.01,643,402,241,534.43,449.23,676.56,5900.0,0.7156,2504.9599,1263.0401,0,0,0,0,0,0,0,0,0,0,43,43,0,0,123,123
9.01,619,382,237,824.54,733.64,971.05,6881.0,0.642,2902.3399,1484.6601,0,0,0,0,0,0,0,0,0,0,39,39,0,0,105,105
10.01,616,384,232,568.98,487.34,704.09,6847.5,0.713,3341.5598,1661.4402,0,0,0,0,0,0,0,0,0,0,33,33,0,0,87,87
11.01,605,373,232,498.6,434.4,601.81,2548.0,0.7562,3799.0598,1808.9402,0,0,0,0,0,0,0,0,0,0,29,29,0,0,80,80
12.01,623,386,237,1022.97,893.34,1234.09,9849.0,0.6726,4218.0598,2012.9402,0,0,0,0,0,0,0,0,0,0,21,21,0,0,60,60
13.01,610,388,222,535.03,444.23,693.74,1911.5,0.7878,4698.6198,2142.3802,0,0,0,0,0,0,0,0,0,0,19,19,0,0,56,56
14.01,552,351,201,351.79,340.6,371.34,559.0,0.8038,5142.3198,2250.6802,0,0,0,0,0,0,0,0,0,0,24,24,0,0,50,50
15.01,673,419,254,748.05,663.17,888.07,8964.0,0.7306,5634.0197,2431.9803,0,0,0,0,0,0,0,0,0,0,16,16,0,0,42,42
16.01,528,338,190,252.22,180.06,380.58,546.5,0.8104,6061.9197,2532.0803,0,0,0,0,0,0,0,0,0,0,13,13,0,0,41,41
17.01,469,294,175,405.33,277.99,619.26,842.0,0.8038,6438.9197,2624.0803,0,0,0,0,0,0,0,0,0,0,9,9,0,0,38,38
18.0,568,362,206,213.77,200.86,236.46,90.0,0.8523,6923.0397,2707.9603,0,0,0,0,0,0,0,0,0,0,11,11,0,0,33,33
19.0,515,325,190,231.03,202.43,279.95,242.0,0.8214,7346.0597,2799.9403,0,0,0,0,0,0,0,0,0,0,13,13,0,0,33,33
20.0,551,348,203,351.43,232.9,554.63,550.0,0.8131,7794.0797,2902.9203,0,0,0,0,0,0,0,0,0,0,20,20,0,0,24,24
21.0,534,334,200,196.01,164.34,248.9,718.0,0.8101,8226.6596,3004.3404,0,0,0,0,0,0,0,0,0,0,16,16,0,0,22,22
22.0,554,348,206,187.08,109.22,318.59,415.0,0.8109,8675.8796,3109.1204,0,0,0,0,0,0,0,0,0,0,12,12,0,0,20,20
23.0,517,326,191,205.84,213.04,193.56,80.0,0.8485,9114.5796,3187.4204,0,0,0,0,0,0,0,0,0,0,13,13,0,0,27,27
24.0,600,375,225,704.93,722.03,676.44,1060.5,0.7715,9577.4996,3324.5004,0,0,0,0,0,0,0,0,0,0,12,12,0,0,22,22
25.0,473,301,172,353.57,269.44,500.81,754.0,0.8055,9958.5196,3416.4804,0,0,0,0,0,0,0,0,0,0,9,9,0,0,21,21
26.0,581,369,212,141.36,118.21,181.65,90.0,0.8301,10440.8195,3515.1805,0,0,0,0,0,0,0,0,0,0,9,9,0,0,22,22
27.0,557,346,211,138.38,130.64,151.09,90.0,0.8329,10904.7195,3608.2805,0,0,0,0,0,0,0,0,0,0,10,10,0,0,22,22
28.0,542,345,197,97.38,82.84,122.84,80.0,0.8432,11361.7395,3693.2605,0,0,0,0,0,0,0,0,0,0,9,9,0,0,29,29
29.0,581,368,213,614.66,602.96,634.88,1000.0,0.8004,11826.7595,3809.2405,0,0,0,0,0,0,0,0,0,0,5,5,0,0,24,24
30.0,535,335,200,86.04,88.69,81.6,90.0,0.8482,12280.5395,3890.4605,0,0,0,0,0,0,0,0,0,0,12,12,0,0,31,31
31.0,567,352,215,141.04,110.03,191.81,90.0,0.8176,12744.1194,3993.8806,0,0,0,0,0,0,0,0,0,0,12,12,0,0,35,35
32.0,572,358,214,125.1,87.32,188.32,90.0,0.8298,13218.7594,4091.2406,0,0,0,0,0,0,0,0,0,0,5,5,0,0,25,25
33.0,582,362,220,132.06,125.44,142.95,90.0,0.8286,13700.9794,4191.0206,0,0,0,0,0,0,0,0,0,0,8,8,0,0,25,25
34.0,574,378,196,132.16,128.04,140.1,90.0,0.8445,14185.6994,4280.3006,0,0,0,0,0,0,0,0,0,0,4,4,0,0,28,28
35.0,546,346,200,222.88,164.31,324.2,100.0,0.8307,14639.2394,4372.7606,0,0,0,0,0,0,0,0,0,0,6,6,0,0,22,22
36.0,542,347,195,198.86,190.0,214.62,90.0,0.836,15092.3593,4461.6407,0,0,0,0,0,0,0,0,0,0,9,9,0,0,24,24
37.0,602,389,213,82.67,66.5,112.21,80.0,0.8601,15610.1593,4545.8407,0,0,0,0,0,0,0,0,0,0,10,10,0,0,27,27
38.0,516,326,190,176.22,119.08,274.26,1060.0,0.7844,16014.9193,4657.0807,0,0,0,0,0,0,0,0,0,0,6,6,0,0,14,14
39.0,575,367,208,120.45,103.22,150.87,90.0,0.8536,16505.7193,4741.2807,0,0,0,0,0,0,0,0,0,0,9,9,0,0,17,17
40.0,497,312,185,156.38,148.69,169.35,90.0,0.8311,16918.7793,4825.2207,0,0,0,0,0,0,0,0,0,0,10,10,0,0,20,20
41.0,525,328,197,125.83,93.99,178.83,90.0,0.8352,17357.2393,4911.7607,0,0,0,0,0,0,0,0,0,0,10,10,0,0,21,21
42.0,527,336,191,119.13,110.21,134.82,110.0,0.8135,17785.9592,5010.0408,0,0,0,0,0,0,0,0,0,0,2,2,0,0,17,17
43.0,538,347,191,97.99,61.47,164.35,80.0,0.8715,18254.8392,5079.1608,0,0,0,0,0,0,0,0,0,0,4,4,0,0,19,19
44.01,588,379,209,81.34,76.86,89.47,90.0,0.8701,18766.4592,5155.5408,0,0,0,0,0,0,0,0,0,0,4,4,0,0,24,24
45.01,476,300,176,128.09,90.33,192.44,100.0,0.8339,19163.3992,5234.6008,0,0,0,0,0,0,0,0,0,0,2,2,0,0,21,21
46.01,530,334,196,110.79,93.02,141.07,80.0,0.8597,19619.0392,5308.9608,0,0,0,0,0,0,0,0,0,0,4,4,0,0,21,21
47.01,611,385,226,94.68,96.36,91.81,100.0,0.8447,20135.1591,5403.8409,0,0,0,0,0,0,0,0,0,0,6,6,0,0,20,20
48.01,510,335,175,118.71,93.31,167.31,100.0,0.8402,20563.6791,5485.3209,0,0,0,0,0,0,0,0,0,0,3,3,0,0,16,16
49.01,533,343,190,64.86,66.62,61.68,90.0,0.8884,21037.1991,5544.8009,0,0,0,0,0,0,0,0,0,0,5,5,0,0,19,19
50.01,505,318,187,107.31,87.58,140.86,90.0,0.8584,21470.6791,5616.3209,0,0,0,0,0,0,0,0,0,0,7,7,0,0,27,27
51.01,539,336,203,128.09,84.64,200.0,90.0,0.8435,21925.3191,5700.6809,0,0,0,0,0,0,0,0,0,0,8,8,0,0,20,20
52.01,524,331,193,171.28,154.47,200.1,1030.0,0.7856,22336.9591,5813.0409,0,0,0,0,0,0,0,0,0,0,5,5,0,0,25,25
53.01,604,389,215,130.91,130.28,132.05,90.0,0.8503,22850.539,5903.461,0,0,0,0,0,0,0,0,0,0,13,13,0,0,21,21
54.01,606,383,223,105.73,75.59,157.49,100.0,0.8563,23369.459,5990.541,0,0,0,0,0,0,0,0,0,0,16,16,0,0,28,28
55.01,606,392,214,155.05,137.07,187.99,577.5,0.7947,23851.039,6114.961,0,0,0,0,0,0,0,0,0,0,8,8,0,0,23,23
56.01,539,337,202,73.6,64.78,88.32,90.0,0.8742,24322.239,6182.761,0,0,0,0,0,0,0,0,0,0,11,11,0,0,25,25
57.01,670,431,239,143.39,116.45,191.97,100.0,0.8337,24880.7989,6294.2011,0,0,0,0,0,0,0,0,0,0,6,6,0,0,30,30
58.01,578,364,214,141.33,96.35,217.85,90.0,0.8394,25365.9789,6387.0211,0,0,0,0,0,0,0,0,0,0,10,10,0,0,25,25
59.01,586,366,220,138.89,117.32,174.77,107.5,0.8166,25844.5189,6494.4811,0,0,0,0,0,0,0,0,0,0,12,12,0,0,23,23
60.01,506,316,190,170.71,140.92,220.26,567.5,0.8015,26250.0989,6594.9011,0,0,0,0,0,0,0,0,0,0,10,10,0,0,28,28
