task_id,job_id,app_name,node_name,ucb_reward,ucb_arm,user_id,task_type,offloaded,edge_id,arrival_time,finish_time,inter_arrival_ms,latency_ms,waiting_ms,proc_ms,tx_delay_ms,transit_ms,channel_rate_mbps,cycles_total,split_ratio,cycles_local,cycles_edge,local_ratio,edge_ratio,finish_time_edge
5,2,matrix,s,0.98,Edge 0,1,DAG_Task,1,0,0.01,0.02,,10.0,,0.0,2.0,,10.0,0.0,1.0,0.0,150000000.0,0.0,0.0,0.02
12,3,mapreduce,s,0.98,Edge 1,1,DAG_Task,1,1,0.01,0.02,,10.0,,0.0,2.0,,10.0,0.0,1.0,0.0,901687500.0,0.0,0.0,0.02
6,2,matrix,0,0.96,Local,1,DAG_Task,0,-1,0.01,0.03,,20.0,0.0,0.0,0.0,20.0,,10.0,0.0,10.0,0.0,1.0,0.0,
7,2,matrix,1,0.94,Local,1,DAG_Task,0,-1,0.01,0.04,,30.0,0.0,0.0,0.0,30.0,,15.0,0.0,15.0,0.0,1.0,0.0,
13,3,mapreduce,0,0.94,Edge 0,1,DAG_Task,1,0,0.01,0.04,,30.0,,0.0,10.0,,10.0,10.0,1.0,0.0,1136812510.0,0.0,113681251.0,0.04
15,3,mapreduce,2,0.92,Local,1,DAG_Task,0,-1,0.01,0.05,,40.0,0.0,0.0,0.0,40.0,,15.0,0.0,15.0,0.0,1.0,0.0,
27,6,video,s,0.98,Edge 0,0,DAG_Task,1,0,0.04,0.05,,10.0,,0.0,2.0,,5.0,0.0,1.0,0.0,300000000.0,0.0,0.0,0.05
17,4,lightgbm,s,0.98,Edge 1,5,DAG_Task,1,1,0.04,0.05,,10.0,,0.0,2.0,,10.0,0.0,1.0,0.0,165750000.0,0.0,0.0,0.05
28,6,video,0,0.96,Local,0,DAG_Task,0,-1,0.04,0.06,,20.0,0.0,0.0,0.0,20.0,,10.0,0.0,10.0,0.0,1.0,0.0,
33,7,lightgbm,s,0.98,Edge 0,0,DAG_Task,1,0,0.05,0.06,,10.0,,0.0,2.0,,10.0,0.0,1.0,0.0,229125000.0,0.0,0.0,0.06
38,8,mapreduce,s,0.98,Edge 1,1,DAG_Task,1,1,0.05,0.06,,10.0,,0.0,2.0,,5.0,0.0,1.0,0.0,910312499.9999999,0.0,0.0,0.06
