sim_time,tasks_done_interval,tasks_local,tasks_offloaded,mean_lat_all_ms,mean_lat_local_ms,mean_lat_edge_ms,p95_lat_all_ms,ucb_reward_mean,ucb_reward_cumulative,ucb_regret_cumulative,total_user_qlen,total_edge_qlen,u0_qlen,u1_qlen,u2_qlen,u3_qlen,u4_qlen,u5_qlen,e0_qlen,e0_busy,e0_txbuf,e0_load,e1_qlen,e1_busy,e1_txbuf,e1_load
1.0,160,16,144,44.94,30.0,46.6,90.5,0.9101,145.62,14.38,0,0,0,0,0,0,0,0,0,0,77,77,0,0,62,62
2.0,431,219,212,110.42,88.81,132.74,1000.0,0.7884,485.4,105.6,0,0,0,0,0,0,0,0,0,0,167,167,0,0,49,49
3.01,707,451,256,144.31,112.71,200.0,1031.0,0.7988,1050.14,247.86,0,0,0,0,0,0,0,0,0,0,150,150,0,0,40,40
4.01,453,275,178,354.61,241.27,529.72,2944.0,0.6877,1361.6799,389.3201,0,0,0,0,0,0,0,0,0,0,132,132,0,0,27,27
5.01,559,350,209,435.65,317.8,633.01,3612.0,0.6974,1751.5399,558.4601,0,0,0,0,0,0,0,0,0,0,102,102,0,0,23,23
6.01,635,400,235,404.09,300.05,581.19,4020.0,0.7493,2227.3199,717.6801,0,0,0,0,0,0,0,0,0,0,80,80,0,0,26,26
7.01,668,434,234,170.34,140.51,225.68,90.0,0.8542,2797.9399,815.0601,0,0,0,0,0,0,0,0,0,0,73,73,0,0,12,12
8.01,675,436,239,574.86,458.28,787.53,6863.0,0.7524,3305.7799,982.2201,0,0,0,0,0,0,0,0,0,0,52,52,0,0,6,6
9.01,581,381,200,204.66,197.45,218.4,90.0,0.8589,3804.7798,1064.2202,0,0,0,0,0,0,0,0,0,0,49,49,0,0,7,7
10.01,640,419,221,429.02,358.88,561.99,100.5,0.815,4326.3998,1182.6002,0,0,0,0,0,0,0,0,0,0,37,37,0,0,2,2
11.01,605,397,208,49.95,60.76,29.33,80.0,0.9001,4870.9598,1243.0402,0,0,0,0,0,0,0,0,0,0,37,37,0,0,2,2
12.01,588,382,206,249.54,227.59,290.24,90.0,0.866,5380.1598,1321.8402,0,0,0,0,0,0,0,0,0,0,32,32,0,0,4,4
13.01,613,397,216,240.03,206.85,301.02,90.0,0.8708,5913.9797,1401.0203,0,0,0,0,0,0,0,0,0,0,27,27,0,0,7,7
14.01,561,370,191,363.33,328.76,430.31,90.0,0.8534,6392.7197,1483.2803,0,0,0,0,0,0,0,0,0,0,21,21,0,0,4,4
15.01,657,418,239,383.33,323.25,488.41,100.0,0.8515,6952.1397,1580.8603,0,0,0,0,0,0,0,0,0,0,13,13,0,0,2,2
16.01,525,347,178,129.64,140.29,108.88,90.0,0.8923,7420.5797,1637.4203,0,0,0,0,0,0,0,0,0,0,12,12,0,0,3,3
17.01,465,303,162,48.34,59.04,28.33,80.0,0.9033,7840.6197,1682.3803,0,0,0,0,0,0,0,0,0,0,12,12,0,0,6,6
18.0,591,385,206,50.36,60.73,30.97,90.0,0.8993,8372.0996,1741.9004,0,0,0,0,0,0,0,0,0,0,12,12,0,0,4,4
19.0,511,333,178,48.26,59.04,28.09,90.0,0.9035,8833.7796,1791.2204,0,0,0,0,0,0,0,0,0,0,12,12,0,0,4,4
20.0,561,368,193,361.68,377.01,332.44,80.0,0.8727,9323.3596,1862.6404,0,0,0,0,0,0,0,0,0,0,9,9,0,0,1,1
21.0,532,345,187,46.45,56.35,28.18,80.0,0.9071,9805.9396,1912.0604,0,0,0,0,0,0,0,0,0,0,9,9,0,0,2,2
22.0,553,359,194,278.82,295.24,248.45,80.0,0.8842,10294.8796,1976.1204,0,0,0,0,0,0,0,0,0,0,7,7,0,0,2,2
23.0,545,361,184,46.86,56.68,27.61,80.0,0.9063,10788.7995,2027.2005,0,0,0,0,0,0,0,0,0,0,7,7,0,0,6,6
24.0,587,375,212,51.02,62.05,31.51,90.0,0.898,11315.8995,2087.1005,0,0,0,0,0,0,0,0,0,0,7,7,0,0,3,3
25.0,470,307,163,46.7,56.42,28.4,80.0,0.9066,11741.9995,2131.0005,0,0,0,0,0,0,0,0,0,0,7,7,0,0,1,1
26.0,583,375,208,776.67,722.05,875.14,90.0,0.8462,12235.3595,2220.6405,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6
27.0,621,408,213,49.95,60.32,30.09,90.0,0.9001,12794.3195,2282.6805,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2
