task_id,job_id,app_name,node_name,ucb_reward,ucb_arm,user_id,task_type,offloaded,edge_id,arrival_time,finish_time,inter_arrival_ms,latency_ms,waiting_ms,proc_ms,tx_delay_ms,transit_ms,channel_rate_mbps,cycles_total,split_ratio,cycles_local,cycles_edge,local_ratio,edge_ratio,finish_time_edge
5,2,matrix,s,0.98,Edge 0,1,DAG_Task,1,0,1.53,1.54,,10.0,,0.0,2.0,,10.0,0.0,1.0,0.0,150000000.0,0.0,0.0,1.54
6,2,matrix,0,0.94,Edge 1,1,DAG_Task,1,1,1.53,1.56,,30.0,,0.0,10.0,,10.0,10.0,1.0,0.0,150000010.0,0.0,15000001.0,1.56
7,2,matrix,1,0.92,Local,1,DAG_Task,0,-1,1.53,1.57,,40.0,0.0,0.0,0.0,40.0,,15.0,0.0,15.0,0.0,1.0,0.0,
8,2,matrix,2,-0.1,Edge 1,1,DAG_Task,1,1,1.53,2.08,,550.0,,0.0,494.0,,10.0,15.0,1.0,0.0,150000015.0,0.0,10000001.0,2.08
9,2,matrix,3,-1.0,Edge 0,1,DAG_Task,1,0,1.53,3.35,,1820.0,,0.0,1774.0,,10.0,15.0,1.0,0.0,150000015.0,0.0,10000001.0,3.35
17,4,lightgbm,s,0.98,Edge 1,5,DAG_Task,1,1,3.87,3.88,,10.0,,0.0,2.0,,10.0,0.0,1.0,0.0,165750000.0,0.0,0.0,3.88
18,4,lightgbm,0,0.96,Local,5,DAG_Task,0,-1,3.87,3.89,,20.0,0.0,0.0,0.0,20.0,,10.0,0.0,10.0,0.0,1.0,0.0,
10,2,matrix,4,-1.0,Edge 0,1,DAG_Task,1,0,1.53,4.34,,2810.0,,0.0,974.0,,10.0,15.0,1.0,0.0,150000015.0,0.0,10000001.0,4.34
11,2,matrix,5,-1.0,Local,1,DAG_Task,0,-1,1.53,4.35,,2820.0,0.0,0.0,0.0,2820.0,,15.0,0.0,15.0,0.0,1.0,0.0,
22,5,lightgbm,s,0.98,Edge 0,4,DAG_Task,1,0,4.37,4.38,,10.0,,0.0,2.0,,10.0,0.0,1.0,0.0,229125000.0,0.0,0.0,4.38
20,4,lightgbm,2,-0.06,Edge 1,5,DAG_Task,1,1,3.87,4.4,,530.0,,0.0,494.0,,10.0,15.0,1.0,0.0,165750015.0,0.0,11050001.0,4.4
23,5,lightgbm,0,0.94,Edge 1,4,DAG_Task,1,1,4.37,4.4,,30.0,,0.0,10.0,,10.0,10.0,1.0,0.0,165750010.0,0.0,16575001.0,4.4
24,5,lightgbm,1,0.92,Local,4,DAG_Task,0,-1,4.37,4.41,,40.0,0.0,0.0,0.0,40.0,,15.0,0.0,15.0,0.0,1.0,0.0,
27,6,video,s,0.98,Edge 1,0,DAG_Task,1,1,4.41,4.42,,10.0,,0.0,2.0,,10.0,0.0,1.0,0.0,150000000.0,0.0,0.0,4.42
28,6,video,0,0.96,Local,0,DAG_Task,0,-1,4.41,4.43,,20.0,0.0,0.0,0.0,20.0,,10.0,0.0,10.0,0.0,1.0,0.0,
19,4,lightgbm,1,-1.0,Edge 0,5,DAG_Task,1,0,3.87,4.88,,1010.0,,0.0,974.0,,10.0,15.0,1.0,0.0,229125015.0,0.0,15275001.0,4.88
25,5,lightgbm,2,-0.08,Edge 0,4,DAG_Task,1,0,4.37,4.91,,540.0,,0.0,494.0,,10.0,15.0,1.0,0.0,229125015.0,0.0,15275001.0,4.91
30,6,video,2,-0.06,Edge 1,0,DAG_Task,1,1,4.41,4.94,,530.0,,0.0,494.0,,10.0,15.0,1.0,0.0,150000015.0,0.0,10000001.0,4.94
43,9,lightgbm,s,0.98,Edge 1,4,DAG_Task,1,1,5.1,5.11,,10.0,,0.0,2.0,,10.0,0.0,1.0,0.0,165750000.0,0.0,0.0,5.11
44,9,lightgbm,0,0.96,Local,4,DAG_Task,0,-1,5.1,5.12,,20.0,0.0,0.0,0.0,20.0,,10.0,0.0,10.0,0.0,1.0,0.0,
53,11,video,s,0.98,Edge 0,1,DAG_Task,1,0,5.22,5.23,,10.0,,0.0,2.0,,10.0,0.0,1.0,0.0,150000000.0,0.0,0.0,5.23
54,11,video,0,0.94,Edge 1,1,DAG_Task,1,1,5.22,5.25,,30.0,,0.0,10.0,,10.0,10.0,1.0,0.0,150000010.0,0.0,15000001.0,5.25
55,11,video,1,0.92,Local,1,DAG_Task,0,-1,5.22,5.26,,40.0,0.0,0.0,0.0,40.0,,15.0,0.0,15.0,0.0,1.0,0.0,
29,6,video,1,-1.0,Edge 0,0,DAG_Task,1,0,4.41,5.42,,1010.0,,0.0,974.0,,10.0,15.0,1.0,0.0,150000015.0,0.0,10000001.0,5.42
31,6,video,3,-1.0,Local,0,DAG_Task,0,-1,4.41,5.43,,1020.0,0.0,0.0,0.0,1020.0,,15.0,0.0,15.0,0.0,1.0,0.0,
46,9,lightgbm,2,-0.06,Edge 1,4,DAG_Task,1,1,5.1,5.63,,530.0,,0.0,494.0,,10.0,15.0,1.0,0.0,165750015.0,0.0,11050001.0,5.63
56,11,video,2,-0.08,Edge 0,1,DAG_Task,1,0,5.22,5.76,,540.0,,0.0,494.0,,10.0,15.0,1.0,0.0,150000015.0,0.0,10000001.0,5.76
