sim_time,tasks_done_interval,tasks_local,tasks_offloaded,mean_lat_all_ms,mean_lat_local_ms,mean_lat_edge_ms,p95_lat_all_ms,ucb_reward_mean,ucb_reward_cumulative,total_user_qlen,total_edge_qlen,u0_qlen,u1_qlen,u2_qlen,u3_qlen,u4_qlen,u5_qlen,e0_qlen,e0_busy,e0_txbuf,e0_load,e1_qlen,e1_busy,e1_txbuf,e1_load
1.0,0,0,0,,,,,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.0,3,1,2,26.67,40.0,20.0,39.0,0.9467,2.84,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1
3.01,1,0,1,550.0,,550.0,550.0,-0.1,2.74,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
4.01,3,1,2,616.67,20.0,915.0,1640.0,0.3133,3.68,0,0,0,0,0,0,0,0,0,0,2,2,0,0,1,1
5.01,11,3,8,759.09,960.0,683.75,2815.0,0.1436,5.26,0,0,0,0,0,0,0,0,0,0,3,3,0,0,1,1
6.01,10,3,7,473.0,360.0,521.43,1295.0,0.164,6.9,0,0,0,0,0,0,0,0,0,0,3,3,0,0,2,2
7.01,7,1,6,1107.14,40.0,1285.0,2659.0,-0.1657,5.74,0,0,0,0,0,0,0,0,0,0,1,1,0,0,3,3
8.01,6,1,5,876.67,40.0,1044.0,2557.5,0.1233,6.48,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0
9.01,2,0,2,1180.0,,1180.0,1756.0,-0.54,5.4,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2,2
10.01,5,1,4,1240.0,20.0,1545.0,2614.0,-0.212,4.34,0,0,0,0,0,0,0,0,0,0,2,2,0,0,1,1
11.01,16,3,13,415.0,366.67,426.15,1715.0,0.5237,12.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10
12.01,18,6,12,641.67,458.33,733.33,1531.5,-0.1389,10.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7
13.01,24,12,12,859.58,782.5,936.67,2000.0,-0.0475,9.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
14.01,14,5,9,172.86,136.0,193.33,543.5,0.6543,18.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
15.01,7,3,4,322.86,380.0,280.0,550.0,0.3543,20.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16.01,15,9,6,34.0,43.33,20.0,50.0,0.932,34.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3
17.01,29,14,15,190.34,183.57,196.67,560.0,0.6193,52.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3
18.0,4,1,3,547.5,560.0,543.33,558.5,-0.095,52.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19.0,15,8,7,98.67,102.5,94.29,543.0,0.8027,64.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2
20.0,14,7,7,215.71,185.71,245.71,560.0,0.5686,72.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
21.0,17,9,8,122.35,96.67,151.25,552.0,0.7553,85.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2
22.0,5,1,4,338.0,560.0,282.5,558.0,0.324,86.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23.0,9,6,3,152.22,130.0,196.67,556.0,0.6956,93.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
24.0,11,6,5,126.36,128.33,124.0,545.0,0.7473,101.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2
25.0,25,12,13,196.4,169.17,221.54,558.0,0.6072,116.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
26.0,3,2,1,546.67,550.0,540.0,550.0,-0.0933,116.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27.0,4,2,2,22.5,25.0,20.0,30.0,0.955,119.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
28.0,26,11,15,166.15,129.09,193.33,547.5,0.6677,137.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
29.0,5,2,3,234.0,295.0,193.33,548.0,0.532,139.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
30.0,6,3,3,203.33,213.33,193.33,547.5,0.5933,143.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
31.0,2,1,1,545.0,550.0,540.0,549.5,-0.09,143.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32.0,0,0,0,,,,,,143.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33.0,6,3,3,203.33,213.33,193.33,547.5,0.5933,146.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34.0,25,13,12,114.8,121.54,107.5,550.0,0.7704,166.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3
35.0,13,7,6,428.46,407.14,453.33,1034.0,0.1538,168.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36.0,8,3,5,88.75,30.0,124.0,365.0,0.8225,174.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
37.0,9,5,4,263.33,248.0,282.5,556.0,0.4733,179.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
