task_id,user_id,task_type,offloaded,edge_id,arrival_time,finish_time,inter_arrival_ms,latency_ms,waiting_ms,proc_ms,tx_delay_ms,transit_ms,channel_rate_mbps,cycles_total,split_ratio,cycles_local,cycles_edge,local_ratio,edge_ratio,finish_time_edge
1,0,Light,0,-1,0.04,0.34,,300.0,0.0,300.0,0.0,0.0,,300000000.0,0.0,300000000.0,0.0,1.0,0.0,
8,1,Light,0,-1,1.06,1.36,,300.0,0.0,300.0,0.0,0.0,,300000000.0,0.0,300000000.0,0.0,1.0,0.0,
14,2,Light,0,-1,1.52,1.82,,300.0,0.0,300.0,0.0,0.0,,300000000.0,0.0,300000000.0,0.0,1.0,0.0,
21,3,Light,0,-1,1.78,2.08,,300.0,0.0,300.0,0.0,0.0,,300000000.0,0.0,300000000.0,0.0,1.0,0.0,
2,0,Heavy,1,0,0.04,2.14,,2100.0,-100.0,1800.0,99.2,400.0,10.0,2000000000.0,0.1,1800000000.0,200000000.0,0.9,0.1,0.5067
9,1,Heavy,1,0,1.06,2.36,,1300.0,-190.0,1000.0,488.0,490.0,10.0,2000000000.0,0.5,1000000000.0,1000000000.0,0.5,0.5,1.8833
29,4,Light,0,-1,2.13,2.43,,300.0,0.0,300.0,0.0,0.0,,300000000.0,0.0,300000000.0,0.0,1.0,0.0,
36,5,Light,0,-1,2.25,2.55,,300.0,0.0,300.0,0.0,0.0,,300000000.0,0.0,300000000.0,0.0,1.0,0.0,
3,0,Medium,0,-1,0.04,3.14,,3100.0,1800.0,1000.0,0.0,300.0,,1000000000.0,0.0,1000000000.0,0.0,1.0,0.0,
10,1,Medium,0,-1,1.06,3.36,,2300.0,0.0,1000.0,0.0,1300.0,,1000000000.0,0.0,1000000000.0,0.0,1.0,0.0,
44,0,Light,0,-1,2.74,3.44,,700.0,400.0,300.0,0.0,0.0,,300000000.0,0.0,300000000.0,0.0,1.0,0.0,
15,2,Heavy,1,1,1.52,3.62,,2100.0,-100.0,1800.0,99.2,400.0,10.0,2000000000.0,0.1,1800000000.0,200000000.0,0.9,0.1,2.02
22,3,Heavy,1,0,1.78,3.88,,2100.0,-100.0,1800.0,99.2,400.0,10.0,2000000000.0,0.1,1800000000.0,200000000.0,0.9,0.1,2.2467
30,4,Heavy,1,0,2.13,4.23,,2100.0,-100.0,1800.0,99.2,400.0,10.0,2000000000.0,0.1,1800000000.0,200000000.0,0.9,0.1,2.5967
37,5,Heavy,1,1,2.25,4.35,,2100.0,-100.0,1800.0,99.2,400.0,10.0,2000000000.0,0.1,1800000000.0,200000000.0,0.9,0.1,2.75
11,1,Heavy,1,0,1.06,4.36,,3300.0,110.0,1000.0,888.0,2190.0,10.0,2000000000.0,0.5,1000000000.0,1000000000.0,0.5,0.5,3.7667
50,1,Light,1,1,3.03,4.51,,1480.0,1320.0,150.0,6.0,10.0,10.0,300000000.0,0.5,150000000.0,150000000.0,0.5,0.5,3.545
16,2,Medium,0,-1,1.52,4.62,,3100.0,1800.0,1000.0,0.0,300.0,,1000000000.0,0.0,1000000000.0,0.0,1.0,0.0,
45,0,Heavy,1,0,2.74,4.64,,1900.0,300.0,1200.0,390.8,400.0,10.0,2000000000.0,0.4,1200000000.0,800000000.0,0.6,0.4,3.4333
56,2,Light,1,0,3.29,4.82,,1530.0,1320.0,200.0,4.67,10.0,10.0,300000000.0,0.3333,200000000.00000003,100000000.0,0.6667,0.3333,3.8
23,3,Heavy,1,1,1.78,4.88,,3100.0,910.0,1000.0,888.0,1190.0,10.0,2000000000.0,0.5,1000000000.0,1000000000.0,0.5,0.5,3.47
62,3,Light,0,-1,4.52,5.18,,660.0,360.0,300.0,0.0,0.0,,300000000.0,0.0,300000000.0,0.0,1.0,0.0,
31,4,Medium,0,-1,2.13,5.23,,3100.0,1800.0,1000.0,0.0,300.0,,1000000000.0,0.0,1000000000.0,0.0,1.0,0.0,
68,4,Light,0,-1,4.96,5.53,,570.0,270.0,300.0,0.0,0.0,,300000000.0,0.0,300000000.0,0.0,1.0,0.0,
4,0,Heavy,1,1,0.04,5.84,,5800.0,780.0,1200.0,710.8,3820.0,10.0,2000000000.0,0.4,1200000000.0,800000000.0,0.6,0.4,4.26
38,5,Heavy,1,0,2.25,5.85,,3600.0,1350.0,1500.0,445.0,750.0,10.0,2000000000.0,0.25,1500000000.0,500000000.0,0.75,0.25,3.1667
17,2,Heavy,1,0,1.52,6.1533,,4633.33,-400.0,1333.33,592.67,3700.0,10.0,2000000000.0,0.3333,1333333333.3333335,666666666.6666666,0.6667,0.3333,5.4422
51,1,Heavy,1,0,3.03,6.31,,3280.0,-100.0,1800.0,99.2,1580.0,10.0,2000000000.0,0.1,1800000000.0,200000000.0,0.9,0.1,4.6767
63,3,Heavy,1,1,4.52,5.8467,,1863.33,0.0,666.67,650.0,660.0,10.0,2000000000.0,0.6667,666666666.6666667,1333333333.3333333,0.3333,0.6667,6.3833
24,3,Medium,1,1,1.78,6.5133,,4733.33,790.0,673.33,166.0,3270.0,10.0,1000000000.0,0.3333,666666666.6666667,333333333.3333333,0.6667,0.3333,5.2167
39,5,Medium,0,-1,2.25,6.85,,4600.0,0.0,1000.0,0.0,3600.0,,1000000000.0,0.0,1000000000.0,0.0,1.0,0.0,
5,0,Heavy,1,0,0.04,6.9829,,6942.86,2280.0,1142.86,418.57,3520.0,10.0,2000000000.0,0.4286,1142857142.8571427,857142857.1428571,0.5714,0.4286,4.0857
32,4,Heavy,1,1,2.13,7.13,,5000.0,-60.0,1600.0,356.4,3460.0,10.0,2000000000.0,0.2,1600000000.0,400000000.0,0.8,0.2,7.0833
18,2,Heavy,1,1,1.52,7.1533,,5633.33,1040.0,1003.33,488.0,3590.0,10.0,2000000000.0,0.5,1000000000.0,1000000000.0,0.5,0.5,5.7167
52,1,Medium,0,-1,3.03,7.31,,4280.0,1800.0,1000.0,0.0,1480.0,,1000000000.0,0.0,1000000000.0,0.0,1.0,0.0,
46,0,Medium,1,0,2.74,7.5829,,4842.86,2140.0,602.86,198.8,2100.0,10.0,1000000000.0,0.4,600000000.0,400000000.0,0.6,0.4,4.9733
25,3,Heavy,1,0,1.78,7.7633,,5983.33,1260.0,1253.33,366.5,3470.0,10.0,2000000000.0,0.375,1250000000.0,750000000.0,0.625,0.375,5.6922
57,2,Heavy,1,0,3.29,8.3533,,5063.33,1540.0,1203.33,779.6,2320.0,5.0,2000000000.0,0.4,1200000000.0,800000000.0,0.6,0.4,6.2922
64,3,Medium,1,0,4.52,8.3633,,3843.33,970.0,603.33,395.6,2270.0,5.0,1000000000.0,0.4,600000000.0,400000000.0,0.6,0.4,6.9233
40,5,Heavy,1,0,2.25,8.45,,6200.0,800.0,1600.0,196.4,3800.0,10.0,2000000000.0,0.2,1600000000.0,400000000.0,0.8,0.2,6.616
33,4,Heavy,1,0,2.13,8.5586,,6428.57,1620.0,1428.57,279.71,3380.0,10.0,2000000000.0,0.2857,1428571428.5714285,571428571.4285713,0.7143,0.2857,6.0256
47,0,Heavy,1,1,2.74,8.5829,,5842.86,2050.0,1002.86,888.0,2790.0,10.0,2000000000.0,0.5,1000000000.0,1000000000.0,0.5,0.5,6.8833
74,5,Light,0,-1,6.9,8.75,,1850.0,1550.0,300.0,0.0,0.0,,300000000.0,0.0,300000000.0,0.0,1.0,0.0,
58,2,Medium,1,0,3.29,8.9248,,5634.76,3090.0,574.76,423.71,1970.0,5.0,1000000000.0,0.4286,571428571.4285713,428571428.57142854,0.5714,0.4286,5.8351
53,1,Heavy,1,1,3.03,9.11,,6080.0,-180.0,1800.0,179.2,4460.0,10.0,2000000000.0,0.1,1800000000.0,200000000.0,0.9,0.1,7.59
65,3,Heavy,1,0,4.52,9.5062,,4986.19,440.0,1146.19,1520.86,3400.0,5.0,2000000000.0,0.4286,1142857142.8571427,857142857.1428571,0.5714,0.4286,8.2057
41,5,Heavy,1,0,2.25,9.75,,7500.0,-190.0,1000.0,488.0,6690.0,10.0,2000000000.0,0.5,1000000000.0,1000000000.0,0.5,0.5,9.2733
69,4,Heavy,1,0,4.96,9.9871,,5027.14,2740.0,1437.14,279.71,850.0,10.0,2000000000.0,0.2857,1428571428.5714285,571428571.4285713,0.7143,0.2857,6.4827
80,0,Light,0,-1,9.82,10.12,,300.0,0.0,300.0,0.0,0.0,,300000000.0,0.0,300000000.0,0.0,1.0,0.0,
26,3,Heavy,1,1,1.78,10.1729,,8392.86,1070.0,672.86,650.0,6650.0,10.0,2000000000.0,0.6667,666666666.6666667,1333333333.3333333,0.3333,0.6667,9.0967
88,1,Light,0,-1,10.13,10.43,,300.0,0.0,300.0,0.0,0.0,,300000000.0,0.0,300000000.0,0.0,1.0,0.0,
70,4,Medium,1,1,4.96,10.6121,,5652.14,4260.0,632.14,186.5,760.0,10.0,1000000000.0,0.375,625000000.0,375000000.0,0.625,0.375,7.2708
59,2,Heavy,1,0,3.29,10.73,,7440.0,-180.0,1800.0,179.2,5820.0,10.0,2000000000.0,0.1,1800000000.0,200000000.0,0.9,0.1,9.5622
96,2,Light,0,-1,10.79,11.09,,300.0,0.0,300.0,0.0,0.0,,300000000.0,0.0,300000000.0,0.0,1.0,0.0,
75,5,Heavy,1,0,6.9,11.0833,,4183.33,670.0,1333.33,326.0,2180.0,10.0,2000000000.0,0.3333,1333333333.3333335,666666666.6666666,0.6667,0.3333,9.4956
103,3,Light,0,-1,11.02,11.32,,300.0,0.0,300.0,0.0,0.0,,300000000.0,0.0,300000000.0,0.0,1.0,0.0,
76,5,Medium,1,1,6.9,11.5833,,4683.33,2080.0,503.33,248.0,2100.0,10.0,1000000000.0,0.5,500000000.0,500000000.0,0.5,0.5,9.3467
81,0,Heavy,1,0,9.82,11.92,,2100.0,-100.0,1800.0,99.2,400.0,10.0,2000000000.0,0.1,1800000000.0,200000000.0,0.9,0.1,10.2867
89,1,Heavy,1,0,10.13,12.23,,2100.0,-200.0,1800.0,196.4,500.0,5.0,2000000000.0,0.1,1800000000.0,200000000.0,0.9,0.1,10.6967
71,4,Heavy,1,1,4.96,12.42,,7460.0,-180.0,1800.0,179.2,5840.0,10.0,2000000000.0,0.1,1800000000.0,200000000.0,0.9,0.1,10.9
109,4,Light,0,-1,12.49,12.79,,300.0,0.0,300.0,0.0,0.0,,300000000.0,0.0,300000000.0,0.0,1.0,0.0,
97,2,Heavy,1,0,10.79,12.89,,2100.0,-100.0,1800.0,99.2,400.0,10.0,2000000000.0,0.1,1800000000.0,200000000.0,0.9,0.1,11.2567
82,0,Heavy,1,1,9.82,12.92,,3100.0,910.0,1000.0,888.0,1190.0,10.0,2000000000.0,0.5,1000000000.0,1000000000.0,0.5,0.5,11.51
104,3,Heavy,1,0,11.02,13.12,,2100.0,-100.0,1800.0,99.2,400.0,10.0,2000000000.0,0.1,1800000000.0,200000000.0,0.9,0.1,11.4867
77,5,Heavy,1,1,6.9,13.39,,6490.0,-180.0,1800.0,179.2,4870.0,10.0,2000000000.0,0.1,1800000000.0,200000000.0,0.9,0.1,11.87
90,1,Heavy,1,0,10.13,13.5633,,3433.33,610.0,1333.33,1183.33,1490.0,5.0,2000000000.0,0.3333,1333333333.3333335,666666666.6666666,0.6667,0.3333,11.8422
115,5,Light,0,-1,13.11,13.69,,580.0,280.0,300.0,0.0,0.0,,300000000.0,0.0,300000000.0,0.0,1.0,0.0,
127,1,Light,0,-1,13.37,13.8633,,493.33,190.0,303.33,0.0,0.0,,300000000.0,0.0,300000000.0,0.0,1.0,0.0,
98,2,Medium,0,-1,10.79,13.89,,3100.0,1800.0,1000.0,0.0,300.0,,1000000000.0,0.0,1000000000.0,0.0,1.0,0.0,
83,0,Medium,0,-1,9.82,13.92,,4100.0,0.0,1000.0,0.0,3100.0,,1000000000.0,0.0,1000000000.0,0.0,1.0,0.0,
105,3,Medium,0,-1,11.02,14.12,,3100.0,1800.0,1000.0,0.0,300.0,,1000000000.0,0.0,1000000000.0,0.0,1.0,0.0,
116,5,Heavy,1,0,13.11,14.3567,,1246.67,-80.0,666.67,650.0,660.0,10.0,2000000000.0,0.6667,666666666.6666667,1333333333.3333333,0.3333,0.6667,14.2144
110,4,Heavy,1,0,12.49,14.59,,2100.0,-100.0,1800.0,99.2,400.0,10.0,2000000000.0,0.1,1800000000.0,200000000.0,0.9,0.1,12.9567
91,1,Medium,0,-1,10.13,14.8633,,4733.33,290.0,1003.33,0.0,3440.0,,1000000000.0,0.0,1000000000.0,0.0,1.0,0.0,
84,0,Heavy,1,1,9.82,14.92,,5100.0,510.0,1000.0,488.0,3590.0,10.0,2000000000.0,0.5,1000000000.0,1000000000.0,0.5,0.5,13.91
121,0,Light,1,0,13.15,15.07,,1920.0,1760.0,150.0,6.0,10.0,10.0,300000000.0,0.5,150000000.0,150000000.0,0.5,0.5,13.21
117,5,Medium,0,-1,13.11,15.36,,2250.0,0.0,1000.0,0.0,1250.0,,1000000000.0,0.0,1000000000.0,0.0,1.0,0.0,
111,4,Medium,0,-1,12.49,15.59,,3100.0,1800.0,1000.0,0.0,300.0,,1000000000.0,0.0,1000000000.0,0.0,1.0,0.0,
99,2,Heavy,1,1,10.79,15.69,,4900.0,-180.0,1800.0,179.2,3280.0,10.0,2000000000.0,0.1,1800000000.0,200000000.0,0.9,0.1,14.17
