sim_time,tasks_done_interval,tasks_local,tasks_offloaded,mean_lat_all_ms,mean_lat_local_ms,mean_lat_edge_ms,p95_lat_all_ms,total_user_qlen,total_edge_qlen,u0_qlen,u1_qlen,u2_qlen,u3_qlen,u4_qlen,u5_qlen,e0_qlen,e0_busy,e0_txbuf,e0_load,e1_qlen,e1_busy,e1_txbuf,e1_load
1.0,1,1,0,300.0,300.0,,300.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2.0,2,2,0,300.0,300.0,,300.0,2,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1
3.01,5,3,2,860.0,300.0,1700.0,1940.0,7,0,2,1,1,1,1,1,0,1,2,3,0,1,0,1
4.01,5,3,2,2060.0,2033.33,2100.0,2940.0,6,0,2,1,1,0,1,1,0,1,0,1,0,1,0,1
5.01,8,1,7,2326.25,3100.0,2215.71,3230.0,11,0,3,1,3,3,1,0,0,0,4,4,0,0,4,4
6.01,5,3,2,2746.0,1443.33,4700.0,5360.0,11,5,2,1,3,1,3,1,2,1,1,4,3,1,0,4
7.01,6,1,5,4342.14,4600.0,4290.57,6390.48,9,1,1,0,2,2,3,1,0,0,1,1,1,1,0,2
8.01,5,1,4,5147.9,4280.0,5364.88,5913.33,6,0,0,0,1,2,2,1,0,1,0,1,0,0,1,1
9.01,7,1,6,4980.41,1850.0,5502.14,6360.0,4,1,0,0,0,1,1,2,0,1,2,3,1,1,0,2
10.01,4,0,4,5898.33,,5898.33,7287.0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
11.01,5,2,3,4417.0,300.0,7161.67,8202.29,3,0,1,1,0,0,0,1,0,0,1,1,0,0,1,1
12.01,5,2,3,2313.33,300.0,3655.56,4583.33,3,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0
13.01,5,1,4,3012.0,300.0,3690.0,6588.0,3,0,1,0,0,1,1,0,0,0,0,0,0,0,1,1
14.01,7,4,3,2899.52,2068.33,4007.78,5773.0,7,0,1,3,2,0,1,0,0,1,3,4,0,0,3,3
15.01,5,2,3,3256.0,3916.67,2815.56,5026.67,7,0,1,2,2,1,0,1,0,0,1,1,0,1,0,1
16.01,6,2,4,3800.56,2675.0,4363.33,5525.0,5,0,2,2,1,0,0,0,0,0,0,0,0,0,1,1
17.01,4,1,3,3810.83,1750.0,4497.78,5875.0,4,0,1,1,1,1,0,0,0,0,1,1,0,1,0,1
18.0,8,2,6,3593.75,440.0,4645.0,5940.0,5,0,1,1,1,1,0,1,0,1,0,1,0,0,2,2
19.0,3,0,3,4343.33,,4343.33,7465.0,4,0,1,0,1,0,1,1,0,0,1,1,0,0,0,0
20.0,7,2,5,3907.62,1440.0,4894.67,6290.0,5,1,0,1,1,2,1,0,0,0,0,0,1,1,0,2
21.0,8,7,1,2976.25,2890.0,3580.0,6137.0,12,0,3,2,3,1,1,2,0,0,5,5,0,0,4,4
22.0,4,0,4,3672.5,,3672.5,6437.0,15,2,2,1,3,4,3,2,2,1,2,5,0,1,2,3
23.0,8,2,6,4673.89,3985.0,4903.52,8645.94,18,2,3,4,2,4,2,3,1,1,3,5,1,1,2,4
24.0,4,1,3,5001.67,4020.0,5328.89,7947.0,20,2,3,4,2,5,4,2,0,0,3,3,2,1,1,4
25.0,8,0,8,3245.27,,3245.27,5083.83,22,6,5,3,5,4,3,2,3,1,0,4,3,1,2,6
26.0,8,0,8,5145.13,,5145.13,7169.29,27,11,6,3,6,5,4,3,6,1,1,8,5,1,2,8
27.0,7,0,7,5262.02,,5262.02,8263.5,31,10,5,4,6,6,5,5,6,1,1,8,4,1,3,8
28.0,7,0,7,6043.89,,6043.89,7802.51,26,5,4,3,5,6,4,4,1,1,2,4,4,1,0,5
29.0,7,0,7,6334.03,,6334.03,8102.3,29,3,3,5,6,6,4,5,0,1,4,5,3,1,2,6
30.0,5,0,5,7772.15,,7772.15,9265.05,29,5,4,6,7,5,3,4,2,1,0,3,3,1,1,5
31.0,9,0,9,6977.28,,6977.28,9827.56,28,2,5,6,5,6,3,3,0,0,5,5,2,1,1,4
32.0,5,0,5,7415.2,,7415.2,10440.05,30,4,6,6,6,5,4,3,3,1,0,4,1,1,2,4
33.0,8,0,8,7974.15,,7974.15,11477.55,29,3,6,5,7,4,4,3,1,1,1,3,2,1,2,5
34.0,12,0,12,8080.09,,8080.09,13469.99,32,3,8,4,5,4,6,5,0,0,8,8,3,1,3,7
35.0,7,0,7,8793.02,,8793.02,13039.2,33,5,8,5,7,3,5,5,1,1,7,9,4,1,2,7
36.0,12,0,12,6490.52,,6490.52,12072.26,36,16,8,6,7,6,4,5,8,1,3,12,8,1,4,13
37.0,7,0,7,9618.79,,9618.79,13490.52,32,16,7,6,6,5,4,4,8,1,2,11,8,1,1,10
38.0,7,0,7,8230.85,,8230.85,11685.63,35,19,6,6,6,6,4,7,8,1,2,11,11,1,0,12
39.0,8,0,8,10676.72,,10676.72,15766.41,31,13,4,5,6,5,5,6,6,1,1,8,7,1,0,8
40.0,6,0,6,7560.34,,7560.34,10201.18,30,8,5,5,5,5,4,6,3,1,1,5,5,1,0,6
41.0,6,0,6,10223.19,,10223.19,15991.16,30,2,3,5,5,5,6,6,0,0,3,3,2,1,0,3
42.0,4,0,4,9025.09,,9025.09,11329.83,32,1,5,5,5,5,6,6,1,1,0,2,0,0,1,1
43.0,10,0,10,9247.2,,9247.2,15425.59,33,3,5,4,6,6,6,6,1,1,3,5,2,1,1,4
44.01,5,0,5,8540.74,,8540.74,11472.97,36,3,4,6,5,6,6,9,1,1,4,6,2,1,3,6
45.01,7,0,7,10285.16,,10285.16,15210.17,36,10,3,8,6,5,6,8,4,1,2,7,6,1,0,7
46.01,11,0,11,9554.41,,9554.41,16308.97,37,7,4,8,7,6,4,8,4,1,4,9,3,1,4,8
