task_id,job_id,app_name,node_name,ucb_reward,ucb_arm,user_id,task_type,offloaded,edge_id,arrival_time,finish_time,inter_arrival_ms,latency_ms,waiting_ms,proc_ms,tx_delay_ms,transit_ms,channel_rate_mbps,cycles_total,split_ratio,cycles_local,cycles_edge,local_ratio,edge_ratio,finish_time_edge
5,2,matrix,s,0.98,Edge 0,1,DAG_Task,1,0,0.74,0.75,,10.0,,0.0,2.0,,10.0,0.0,1.0,0.0,150000000.0,0.0,0.0,0.75
6,2,matrix,0,0.94,Edge 1,1,DAG_Task,1,1,0.74,0.77,,30.0,,0.0,10.0,,10.0,10.0,1.0,0.0,150000010.0,0.0,15000001.0,0.77
7,2,matrix,1,0.92,Local,1,DAG_Task,0,-1,0.74,0.78,,40.0,0.0,0.0,0.0,40.0,,15.0,0.0,15.0,0.0,1.0,0.0,
18,4,mapreduce,s,0.98,Edge 0,3,DAG_Task,1,0,1.05,1.06,,10.0,,0.0,2.0,,10.0,0.0,1.0,0.0,1136812500.0,0.0,0.0,1.06
20,4,mapreduce,1,0.96,Local,3,DAG_Task,0,-1,1.05,1.07,,20.0,0.0,0.0,0.0,20.0,,15.0,0.0,15.0,0.0,1.0,0.0,
19,4,mapreduce,0,0.94,Edge 1,3,DAG_Task,1,1,1.05,1.08,,30.0,,0.0,10.0,,10.0,10.0,1.0,0.0,901687510.0,0.0,90168751.0,1.08
8,2,matrix,2,-0.1,Edge 1,1,DAG_Task,1,1,0.74,1.29,,550.0,,0.0,494.0,,10.0,15.0,1.0,0.0,150000015.0,0.0,10000001.0,1.29
28,6,matrix,s,0.98,Edge 0,3,DAG_Task,1,0,1.45,1.46,,10.0,,0.0,2.0,,10.0,0.0,1.0,0.0,150000000.0,0.0,0.0,1.46
29,6,matrix,0,0.94,Edge 1,3,DAG_Task,1,1,1.45,1.48,,30.0,,0.0,10.0,,10.0,10.0,1.0,0.0,150000010.0,0.0,15000001.0,1.48
30,6,matrix,1,0.92,Local,3,DAG_Task,0,-1,1.45,1.49,,40.0,0.0,0.0,0.0,40.0,,15.0,0.0,15.0,0.0,1.0,0.0,
21,4,mapreduce,2,-0.08,Edge 1,3,DAG_Task,1,1,1.05,1.59,,540.0,,0.0,494.0,,10.0,15.0,1.0,0.0,901687515.0000001,0.0,60112501.0,1.59
31,6,matrix,2,-0.1,Edge 1,3,DAG_Task,1,1,1.45,2.0,,550.0,,0.0,494.0,,10.0,15.0,1.0,0.0,150000015.0,0.0,10000001.0,2.0
41,8,video,s,0.98,Edge 0,0,DAG_Task,1,0,2.14,2.15,,10.0,,0.0,2.0,,10.0,0.0,1.0,0.0,150000000.0,0.0,0.0,2.15
42,8,video,0,0.94,Edge 1,0,DAG_Task,1,1,2.14,2.17,,30.0,,0.0,10.0,,10.0,10.0,1.0,0.0,150000010.0,0.0,15000001.0,2.17
43,8,video,1,0.92,Local,0,DAG_Task,0,-1,2.14,2.18,,40.0,0.0,0.0,0.0,40.0,,15.0,0.0,15.0,0.0,1.0,0.0,
