sim_time,tasks_done_interval,tasks_local,tasks_offloaded,mean_lat_all_ms,mean_lat_local_ms,mean_lat_edge_ms,p95_lat_all_ms,ucb_reward_mean,ucb_reward_cumulative,total_user_qlen,total_edge_qlen,u0_qlen,u1_qlen,u2_qlen,u3_qlen,u4_qlen,u5_qlen,e0_qlen,e0_busy,e0_txbuf,e0_load,e1_qlen,e1_busy,e1_txbuf,e1_load
1.0,0,0,0,,,,,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.0,0,0,0,,,,,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.01,0,0,0,,,,,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4.01,0,0,0,,,,,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5.01,0,0,0,,,,,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6.01,0,0,0,,,,,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7.01,0,0,0,,,,,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8.01,0,0,0,,,,,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9.01,0,0,0,,,,,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10.01,0,0,0,,,,,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11.01,4,0,4,20.0,,20.0,30.0,0.96,3.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4
12.01,1,0,1,1030.0,,1030.0,1030.0,-1.0,2.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4
13.01,5,0,5,1208.0,,1208.0,2014.0,-0.216,1.76,0,0,0,0,0,0,0,0,0,0,1,1,0,0,4,4
14.01,5,1,4,922.0,1040.0,892.5,2208.0,-0.216,0.68,0,0,0,0,0,0,0,0,0,0,3,3,0,0,2,2
15.01,11,2,9,1271.82,1505.0,1220.0,3685.0,-0.2036,-1.56,0,0,0,0,0,0,0,0,0,0,3,3,0,0,2,2
16.01,10,5,5,1246.0,1254.0,1238.0,4585.5,-0.044,-2.0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,1,1
17.01,22,11,11,366.36,261.82,470.91,1990.0,0.5382,9.84,0,0,0,0,0,0,0,0,0,0,1,1,0,0,3,3
18.0,15,6,9,1113.33,1400.0,922.22,3603.0,0.0787,11.02,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
19.0,10,6,4,337.0,293.33,402.5,1035.5,0.34,14.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
20.0,5,2,3,238.0,300.0,196.67,558.0,0.524,17.04,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
21.0,9,5,4,365.56,340.0,397.5,1006.0,0.2711,19.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22.0,4,2,2,32.5,45.0,20.0,48.5,0.935,23.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
23.0,16,10,6,169.38,152.0,198.33,562.5,0.6612,33.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24.0,5,2,3,234.0,295.0,193.33,548.0,0.532,36.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25.0,24,12,12,31.67,42.5,20.83,50.0,0.9367,58.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6
26.0,16,7,9,379.38,327.14,420.0,1042.5,0.2575,63.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3
27.0,33,16,17,333.33,358.13,310.0,1824.0,0.4842,79.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
28.0,7,3,4,325.71,383.33,282.5,557.0,0.3486,81.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29.0,10,5,5,134.0,144.0,124.0,545.5,0.732,88.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
30.0,2,1,1,555.0,560.0,550.0,559.5,-0.11,88.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31.0,3,1,2,26.67,40.0,20.0,39.0,0.9467,91.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
32.0,5,2,3,234.0,295.0,193.33,548.0,0.532,94.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
33.0,8,3,5,162.5,220.0,128.0,546.5,0.675,99.48,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2,2
34.0,4,1,3,1040.0,1050.0,1036.67,1048.5,-1.0,95.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
35.0,26,13,13,48.08,36.15,60.0,50.0,0.9038,118.98,0,0,0,0,0,0,0,0,0,0,1,1,0,0,6,6
36.0,17,6,11,525.88,298.33,650.0,1398.0,0.1718,121.9,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2,2
37.0,20,10,10,265.5,79.0,452.0,1821.0,0.653,134.96,0,0,0,0,0,0,0,0,0,0,1,1,0,0,3,3
38.0,7,1,6,531.43,540.0,530.0,1037.0,-0.0429,134.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2
39.0,15,7,8,168.0,117.14,212.5,701.0,0.668,144.68,0,0,0,0,0,0,0,0,0,0,1,1,0,0,3,3
40.0,5,2,3,1126.0,1275.0,1026.67,1998.0,-0.456,142.4,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
41.0,3,2,1,1830.0,1835.0,1820.0,1839.0,-1.0,139.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42.0,4,2,2,32.5,45.0,20.0,48.5,0.935,143.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
43.0,18,10,8,202.78,193.0,215.0,551.5,0.5944,153.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
44.01,14,7,7,101.43,110.0,92.86,533.5,0.7971,165.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3
45.01,24,11,13,222.08,224.55,220.0,550.0,0.5558,178.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2
46.01,15,7,8,271.33,190.0,342.5,701.0,0.4613,185.26,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
47.01,6,3,3,203.33,213.33,193.33,547.5,0.5933,188.82,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
48.01,15,5,10,284.67,146.0,354.0,1231.0,0.6733,198.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4
49.01,13,6,7,230.77,213.33,245.71,554.0,0.5385,205.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3
50.01,31,13,18,269.68,264.62,273.33,1260.0,0.5865,224.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3
51.01,14,7,7,595.0,694.29,495.71,1833.5,0.17,226.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3
52.01,7,2,5,245.71,25.0,334.0,547.0,0.5086,230.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
53.01,9,4,5,624.44,930.0,380.0,1836.0,0.3044,232.78,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2,2
54.01,18,7,11,252.22,254.29,250.91,1001.5,0.4967,241.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2
55.01,8,4,4,350.0,287.5,412.5,550.0,0.3,244.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56.01,15,9,6,97.33,93.33,103.33,533.0,0.8053,256.2,0,0,0,0,0,0,0,0,0,0,2,2,0,0,1,1
57.01,13,7,6,303.08,251.43,363.33,1034.0,0.4046,261.46,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1
58.01,13,6,7,264.62,290.0,242.86,550.0,0.4708,267.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
59.01,12,6,6,160.83,128.33,193.33,544.5,0.6783,275.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
60.01,10,6,4,134.0,123.33,150.0,555.5,0.732,283.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2
